Year,State,Type,"Death_Rate (per 100,000)",Deaths,Mental_Health_Issues,Unemployment_Rates,Median Age,Literacy_Rate,Conviction Rates,Median_Income,High school education,Population,Registered_Firearms
2019,Rhode Island,Blue,4.6,48,214,3.5,40.7,0.792,0.5476,79900,3103046,1043478.261,446.1041666
2019,South Carolina,Red,19.9,1012,488,2.7,40.4,0.761,0.7327,70650,212282,5085427.136,1952.304051
2019,South Dakota,Red,13.1,113,298,2.7,37.8,0.859,0.6164,73190,1015260,862595.4198,3609.339823
2019,Tennessee,Red,18.4,1270,111,3.5,39.1,0.781,0.4325,64500,176644,6902173.913,1755.099213
2019,Texas,Red,12.7,3683,3532,3.5,35.4,0.731,0.4727,76820,1480753,29000000,2501.268966
2019,Utah,Red,12.8,394,276,2.4,31.9,0.852,0.554,96270,4734422,3078125,3035.614213
2019,Vermont,Blue,9.3,67,181,2.1,41.1,0.861,0.5178,84630,442206,720430.1075,1071.026866
2019,Virginia,Blue,11.7,1025,1283,2.8,39.3,0.815,0.931,92610,129254,8760683.761,4074.602049
2019,Washington,Blue,10.7,842,1342,3.8,38.9,0.832,0.5013,93910,1387610,7869158.879,1522.767577
2019,West Virginia,Red,16.6,300,291,5.2,42.2,0.789,0.617,61170,1167347,1807228.916,2304.688666
