Death_Rate,Time,Type,Mental_Health_Issues,Unemployment_Rates,Median Age,Literacy_Rate,Conviction Rates,Median_Income,High_School_Education,Registered_Firearms,Population
16.8,3,Red,545,3.2,37.7,0.807,0.604,62920,1638319,0.018850105,3958333.333
11.7,3,Blue,612,4.3,40.1,0.851,0.712,79950,613877,0.014956613,4435897.436
12.5,3,Swing,1719,4.3,41.6,0.831,0.4328,74580,744593,0.019782724,13232000
3.3,3,Blue,195,3.8,40.1,0.792,0.5133,71970,1432404,0.00404473,1121212.121
17.6,3,Red,435,3.2,40.2,0.771,0.7227,66400,133241,0.019884264,5085227.273
13.6,3,Red,191,2.8,37.1,0.859,0.5864,68730,701181,0.026557197,860294.1176
17.8,3,Red,99,3.5,39.8,0.781,0.4125,64800,115946,0.015601671,6898876.404
12.2,3,Red,3321,3.8,35.8,0.735,0.4227,69100,975251,0.022086503,28868852.46
13.2,3,Red,249,2.8,31.2,0.855,0.534,89080,3949496,0.027916836,3007575.758
12.8,3,Blue,190,2.3,38.6,0.862,0.5225,80990,462160,0.010338341,640625
11.8,3,Blue,1280,3.1,39.1,0.815,0.918,89180,78850,0.037396309,8771186.441
10.4,3,Blue,1137,4.6,37.6,0.842,0.5111,92150,1091538,0.013052578,7778846.154
18.2,3,Red,251,5.1,42.4,0.789,0.6266,58460,1197203,0.020077837,1884615.385
10.1,3,Swing,899,3,40.3,0.845,0.4835,72390,246501,0.012371656,5920792.079
21.5,3,Red,97,3.9,39.3,0.861,0.617,72290,817650,0.222079395,576744.186
22.2,4,Red,692,3.1,39.2,0.762,0.821,64010,1039241,0.034716385,4846846.847
24.4,4,Red,117,5.3,35.8,0.8212,0.6182,89290,139156,0.027971397,733606.5574
15.1,4,Swing,899,4.7,38.3,0.731,0.728,80500,1170685,0.027224795,7523178.808
19.3,4,Red,246,3.5,38.1,0.752,0.5444,62120,710306,0.036204471,3005181.347
7.2,4,Blue,5124,4.2,37.6,0.721,0.621,88960,5546711,0.009208812,40902777.78
14.2,4,Blue,755,2.8,37,0.842,0.332,82580,836590,0.018915038,5957746.479
5.3,4,Blue,487,3.8,42.1,0.831,0.859,99420,668361,0.020886742,3584905.66
9.9,4,Blue,287,3.6,41.9,0.806,0.311,84510,207642,0.00562171,939393.9394
12.7,4,Swing,2567,3,42,0.746,0.5464,66480,79881,0.019128756,22614173.23
15.8,4,Swing,1402,3.5,36.9,0.759,0.5422,64500,4396122,0.021066014,10727848.1
4.4,4,Blue,188,2.3,40.4,0.841,0.4522,100200,1939945,0.006149355,1409090.909
14.2,4,Red,215,2.8,37.8,0.835,0.6821,75160,273421,0.032741859,1795774.648
10.8,4,Blue,1211,3.6,39.4,0.815,0.6632,84740,305274,0.011668898,12657407.41
14.1,4,Red,1332,3.3,37.4,0.826,0.4721,75960,2255611,0.019662582,6794326.241
9.1,4,Red,179,2.7,38.9,0.881,0.6541,75240,1526825,0.01131,3230769.231
13.7,4,Red,301,3.3,37.8,0.851,0.4365,83320,658822,0.01849636,2941605.839
14.9,4,Red,773,4.1,39.1,0.782,0.6537,63400,504035,0.020475265,4577181.208
22.1,4,Red,672,4.8,38.5,0.754,0.517,58890,1012643,0.025393838,4583710.407
11.5,4,Blue,309,3.2,44.8,0.859,0.3055,75800,1066026,0.012283129,1417391.304
12.6,4,Blue,723,3.3,39.1,0.8182,0.114,108900,311108,0.021353255,6007936.508
3.4,4,Blue,1212,2.9,40.9,0.818,0.741,99900,1030636,0.005490381,7264705.882
12.1,4,Swing,1499,3.8,40.8,0.828,0.658,73030,1158066,0.008267176,10082644.63
8.1,4,Swing,843,3.3,38.7,0.861,0.8248,92740,2005981,0.017172871,5740740.741
24.2,4,Red,491,5.6,38.5,0.718,0.9437,51010,939997,0.017841876,2933884.298
20.6,4,Red,906,3.3,39.9,82.14,0.611,69020,598609,0.014523658,6077669.903
19,4,Red,199,3.5,40.9,0.814,0.5573,68560,1308859,0.021341818,1100000
10.4,4,Red,304,3.1,37.3,0.847,0.419,83230,211079,0.015094205,1971153.846
15.3,4,Swing,351,4.2,38.9,0.7412,0.8321,80760,326389,0.030232176,3202614.379
10.7,4,Blue,309,2.6,42.2,0.891,0.751,98980,593417,0.04070184,1457943.925
4.1,4,Blue,978,3.9,40.9,0.781,0.597,99920,275105,0.010051351,8975609.756
22.3,4,Blue,213,5,39.1,0.712,0.4152,60500,1666321,0.050109189,2112107.623
3.9,4,Blue,2335,4,38.1,0.741,0.2662,81840,376390,0.004022093,20615384.62
13.1,4,Swing,1435,3.8,39.2,0.779,0.534,69660,3524192,0.016992397,10664122.14
12.4,4,Red,65,2,36.5,0.878,0.7527,79760,1839042,0.026293333,750000
13.3,4,Swing,1911,4.4,38.1,0.829,0.6334,73650,134432,0.014818712,11864661.65
18.6,4,Red,488,3.1,36.9,0.801,0.574,67650,2627758,0.020975349,3962365.591
12.6,4,Blue,589,3.4,40.1,0.857,0.702,84760,825284,0.016634226,4492063.492
11.7,4,Swing,1829,4.5,41.2,0.836,0.4428,80390,687243,0.02060802,13170940.17
4.6,4,Blue,214,3.5,40.7,0.792,0.5476,79900,3103046,0.004461042,1043478.261
19.9,4,Red,488,2.7,40.4,0.761,0.7327,70650,212282,0.019523041,5085427.136
13.1,4,Red,298,2.7,37.8,0.859,0.6164,73190,1015260,0.036093398,862595.4198
